Name,Address,DataType,RefreshRate,AccessPermission,Gain,Offset,Description
Setting9,406210,DWord,100,ReadAndWrite,1,0,
MaiDao1_PV,406212,DWord,100,ReadAndWrite,1,0,
MaiDao1_TT,406214,DWord,100,ReadAndWrite,1,0,
MaiDao2_PV,406216,DWord,100,ReadAndWrite,1,0,
MaiDao2_TT,406218,DWord,100,ReadAndWrite,1,0,
MaiDao3_PV,406220,DWord,100,ReadAndWrite,1,0,
MaiDao3_TT,406222,DWord,100,ReadAndWrite,1,0,
MaiDao4_PV,406224,DWord,100,ReadAndWrite,1,0,
MaiDao4_TT,406226,DWord,100,ReadAndWrite,1,0,
MaiDao5_PV,406228,DWord,100,ReadAndWrite,1,0,
MaiDao5_TT,406230,DWord,100,ReadAndWrite,1,0,
Dao1_L,406400,Word,100,ReadAndWrite,1,0,
Dao1_R,406401,Word,100,ReadAndWrite,1,0,
Dao2_L,406402,Word,100,ReadAndWrite,1,0,
Dao2_R,406403,Word,100,ReadAndWrite,1,0,
Dao3_L,406404,Word,100,ReadAndWrite,1,0,
Dao3_R,406405,Word,100,ReadAndWrite,1,0,
Dao4_L,406406,Word,100,ReadAndWrite,1,0,
Dao4_R,406407,Word,100,ReadAndWrite,1,0,
Dao5_L,406408,Word,100,ReadAndWrite,1,0,
Dao5_R,406409,Word,100,ReadAndWrite,1,0,
Lang1_L,406410,Word,100,ReadAndWrite,1,0,
Lang1_R,406411,Word,100,ReadAndWrite,1,0,
Lang2_L,406412,Word,100,ReadAndWrite,1,0,
Lang2_R,406413,Word,100,ReadAndWrite,1,0,
Lang3_L,406414,Word,100,ReadAndWrite,1,0,
Lang3_R,406415,Word,100,ReadAndWrite,1,0,
Lang4_L,406416,Word,100,ReadAndWrite,1,0,
Lang4_R,406417,Word,100,ReadAndWrite,1,0,
Lang5_L,406418,Word,100,ReadAndWrite,1,0,
Lang5_R,406419,Word,100,ReadAndWrite,1,0,
Lang6_L,406420,Word,100,ReadAndWrite,1,0,
Lang6_R,406421,Word,100,ReadAndWrite,1,0,
Lang7_L,406422,Word,100,ReadAndWrite,1,0,
Lang7_R,406423,Word,100,ReadAndWrite,1,0,
Lang8_L,406424,Word,100,ReadAndWrite,1,0,
Lang8_R,406425,Word,100,ReadAndWrite,1,0,
KheHo_Inc,406426,Word,100,ReadAndWrite,1,0,
KheHo_Dec,406427,Word,100,ReadAndWrite,1,0,
